id,part_id,variant_group_id,supplier,no_tax_price,purchase_special_invoice,purchase_general_invoice,oa_supplier_id,external_price_fields
44,1067,a02b6cc243aa403db3afe3df11f5af27,梯乎,3560.00,0.00,0.00,77,
45,1067,48e7020b43fe48dabc725f3c0ab56bf4,梯乎,2000.00,0.00,0.00,77,
47,460,cc6f1ecd62c142b4a4d67c4ec7ec26d3,菱威,21.00,24.00,,20,
52,9,997eb4bb90164b5491fad8c0d4663353,越沃,720.00,0.00,0.00,42,
53,9,8f9b4a37dc794d6aad0d805fe8de7704,越沃,720.00,813.60,,42,
54,9,997eb4bb90164b5491fad8c0d4663353,菱威,680.00,0.00,,20,
55,9,8f9b4a37dc794d6aad0d805fe8de7704,菱威,680.00,768.40,,20,
56,676,de2849cb65a84a3294deabaf97f006b2,众思创,420.00,420.00,420.00,9,
57,676,4f3623ced0574936a74f14f7d1e3e8be,众思创,430.00,430.00,430.00,9,
59,2516,5ce7978f05c64cb3ac48fd07a4476bfd,茂旺,530.97,600.00,0.00,10,"special,general"
71,5317,27b150c6041343c480aff88b835d930f,菱威,100.00,113.00,,20,
72,5319,a80b00d2701e41069c10ae32f17f393e,菱威,580.00,655.40,,20,
73,2391,925537da7b464081a101643191c5039e,新动力,750.00,847.50,,49,
74,2391,925537da7b464081a101643191c5039e,菱威,1000.00,1130.00,,20,
75,5320,c37cfe84512c4b2a923e04bb2d777c42,阿卡宋,1250.00,1250.00,1250.00,8,
76,5321,5e0a923b74284641b7dfbc8d7a1da862,菱威,1400.00,1585.00,,20,
77,5322,b92351880998439c87c3b08788625af4,菱威,400.00,452.00,,20,
80,5151,9eefffa6654c45c1900ddf8210a70ce6,茂旺,350.00,395.50,,10,
81,2595,5f831b136afd41cf8e030913564b3cc6,茂旺,400.00,0.00,0.00,10,
84,5323,d692d8c754b146d0ae5cd69d71f1727b,徽菱,55.00,0.00,0.00,28,
85,5324,42432ca0dadc4529af6a715eb407e8e5,梯乎,4800.00,0.00,0.00,77,
86,5324,42432ca0dadc4529af6a715eb407e8e5,徽菱,6800.00,0.00,0.00,28,
87,5324,82a2ce1da80a4a13bf3c8648e7cf7ea4,梯乎,2600.00,0.00,0.00,77,
88,5147,6ddea17bdac3472a9aeab1748d431b9a,茂旺,400.00,440.00,0.00,10,
90,5326,a399462a0732449a9c21dc2870cac280,湖州讯通,106.19,120.00,,103,
91,982,3be24d062da34775b31bf6f659c102c4,亿龙,46.90,53.00,,74,
92,2807,78cbcf31cd3144f693c55e1709cc38d5,茂旺,410.00,450.00,0.00,10,
98,1,4ad1ed6ff57143ab8f93e770fff5f842,湖州讯通,504.42,570.00,,103,
99,1,4ad1ed6ff57143ab8f93e770fff5f842,新动力,600.00,0.00,,49,
100,1490,520cc41843f242d0b9df29b1fc9ad8e9,梯乎,5000.00,5650.00,,77,
101,1490,6ba8260f182e4bccaaac38c6ce9fcd6d,梯乎,3500.00,3955.00,,77,
102,614,948cc82459a54df2b83b0da60f24d18d,梯安,0.00,0.00,,18,
103,5328,0cb969b42cb54c48a8cc5283c9843911,梯安,740.00,836.20,,18,
104,2382,dfcce91f6c774ed5aa501a7775c6cc7a,宏鑫,7787.61,8800.00,,64,
105,2382,63225b99cd7e4ef3b3a271b4fcc92e75,宏鑫,9557.52,10800.00,,64,
107,2382,dfcce91f6c774ed5aa501a7775c6cc7a,湖州讯通,8318.58,9400.00,,103,
108,40,69b1f3bb832e4d1095e48241ba9feb11,菱威,750.00,847.50,,20,
109,40,69b1f3bb832e4d1095e48241ba9feb11,越沃,780.00,881.40,,42,
110,4807,666617d675d74fd5a5e85ab34e196823,菱威,95.00,107.35,,20,
111,4807,666617d675d74fd5a5e85ab34e196823,越沃,105.00,118.65,,42,
114,5332,c1e34afbea044537a75bda634788a4ae,菱威,160.00,0.00,,20,
115,5333,99edbeef7e7c4802a73120fb883663ab,菱威,1700.00,0.00,,20,
116,5334,2614d2999d194412a090310c4bcec1cf,湖州讯通,1106.19,1250.00,,103,
